Prompt,Query
Retrieve the first 170 entries from the assets table.,SELECT * FROM assets LIMIT 170;
Retrieve the last 140 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 140 DAY;
Fetch the first 165 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 165;;
Retrieve the last 170 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 170;
Retrieve the data from the events table for the last 165 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 165 DAY;
Fetch the last 180 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 180;
Retrieve the first 175 entries from the assets table.,SELECT * FROM assets LIMIT 175;
Retrieve the last 145 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 145 DAY;
Fetch the first 170 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 170;
Retrieve the last 175 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 175;
Retrieve the data from the events table for the last 170 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 170 DAY;
Fetch the last 185 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 185;
Retrieve the first 180 entries from the assets table.,SELECT * FROM assets LIMIT 180;
Retrieve the last 150 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 150 DAY;
Fetch the first 175 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 175;
Retrieve the last 180 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 180;
Retrieve the data from the events table for the last 175 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 175 DAY;
Fetch the last 190 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 190;
Retrieve the first 185 entries from the assets table.,SELECT * FROM assets LIMIT 185;
Retrieve the last 155 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 155 DAY;
Fetch the first 180 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 180;
Retrieve the last 185 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 185;
Retrieve the data from the events table for the last 180 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 180 DAY;
Fetch the last 195 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 195;
Retrieve the first 190 entries from the assets table.,SELECT * FROM assets LIMIT 190;
Retrieve the last 160 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 160 DAY;
Fetch the first 185 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 185;
Retrieve the last 190 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 190;
Retrieve the data from the events table for the last 185 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 185 DAY;
Fetch the last 200 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 200;
Retrieve the first 195 entries from the assets table.,SELECT * FROM assets LIMIT 195;
Retrieve the last 165 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 165 DAY;
Fetch the first 190 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 190;
Retrieve the last 195 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 195;
Retrieve the data from the events table for the last 190 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 190 DAY;
Fetch the last 2 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 2;
Retrieve the first 10 entries from the assets table.,SELECT * FROM assets LIMIT 10;
Retrieve the last 2 days' data from the events table.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 2 DAY;
Fetch the first 2 entries from the staff_directory table.,SELECT * FROM staff_directory LIMIT 2;
Retrieve the last 10 records from the assets table.,SELECT * FROM assets ORDER BY id DESC LIMIT 10;
Retrieve the data from the events table for the last 2 days.,SELECT * FROM events WHERE date_created >= CURDATE() - INTERVAL 2 DAY;
Fetch the last 15 records from the staff_directory table.,SELECT * FROM staff_directory ORDER BY id DESC LIMIT 15;
Retrieve the first 5 entries from the assets table.,SELECT * FROM assets LIMIT 5;
Retrieve the full_name and pharmacies_id from the staff_directory and pharmacies tables where user_id matches and is_active is true.,"SELECT staff_directory.full_name, staff_directory.pharmacies_id FROM staff_directory JOIN pharmacies ON staff_directory.user_id = pharmacies.user_id WHERE staff_directory.is_active = TRUE;"
Fetch the active and asset_type_id from the assets and asset_items tables where asset_items_id matches and active is true.,"SELECT assets.active, assets.asset_type_id FROM assets JOIN asset_items ON assets.asset_items_id = asset_items.asset_items_id WHERE assets.active = TRUE;"
Select the name and updated_at from the hazards and pharmacies tables where pharmacies_id matches and name contains 'fire'.,"SELECT hazards.name, pharmacies.updated_at FROM hazards JOIN pharmacies ON hazards.pharmacies_id = pharmacies.pharmacies_id WHERE hazards.name LIKE '%fire%';"
Retrieve the name and forms_id from the event_staff_roles and formssettings_summarytools tables where forms_id matches and facility_id is not null.,"SELECT event_staff_roles.name, formssettings_summarytools.forms_id FROM event_staff_roles JOIN formssettings_summarytools ON event_staff_roles.forms_id = formssettings_summarytools.forms_id WHERE formssettings_summarytools.facility_id IS NOT NULL;"
Fetch the events_id and user_id from the event_actions and events tables where events_id matches and action_date is greater than '2023-06-30' 00:00:00.,"SELECT event_actions.events_id, event_actions.user_id FROM event_actions JOIN events ON event_actions.events_id = events.events_id WHERE event_actions.action_date > '2023-06-30 00:00:00';"
Retrieve the id and official_user_id from the users and staff_directory tables where users official_user_id matches staff_directory official_user_id.,"SELECT users.id, users.official_user_id FROM users JOIN staff_directory ON users.official_user_id = staff_directory.official_user_id;"
Fetch the id and name from the organizations and pharmacies tables where organizations id matches pharmacies organizations_id.,"SELECT organizations.id, organizations.name FROM organizations JOIN pharmacies ON organizations.id = pharmacies.organizations_id;"
Select the id and users_fullname from the events and staff_directory tables where events users_id matches staff_directory user_id and harmt is null.,"SELECT events.id, staff_directory.users_fullname FROM events JOIN staff_directory ON events.users_id = staff_directory.user_id WHERE events.harmt IS NULL;"
Select the users_id and date_created from the events and event_actions tables where events id matches event_actions events_id and date_created is not null.,"SELECT events.users_id, event_actions.date_created FROM events JOIN event_actions ON events.id = event_actions.events_id WHERE event_actions.date_created IS NOT NULL;"
Retrieve the id and name from the organizations and hazards tables where organizations name contains 'Hospital' and id is greater than 100.,"SELECT organizations.id, hazards.name FROM organizations JOIN hazards ON organizations.name LIKE '%Hospital%' AND organizations.id > 100;"
Retrieve the name and forms_id from the event_staff_roles and formssettings_summarytools tables where forms_id matches and forms_id is less than 50.,"SELECT event_staff_roles.name, formssettings_summarytools.forms_id FROM event_staff_roles JOIN formssettings_summarytools ON event_staff_roles.forms_id = formssettings_summarytools.forms_id WHERE formssettings_summarytools.forms_id < 50;"
Fetch the events_id and user_id from the event_actions and events tables where events_id matches and action_date is greater than '2023-07-01' 00:00:00.,"SELECT event_actions.events_id, event_actions.user_id FROM event_actions JOIN events ON event_actions.events_id = events.events_id WHERE event_actions.action_date > '2023-07-01 00:00:00';"
Retrieve the id and official_user_id from the users and staff_directory tables where users official_user_id matches staff_directory official_user_id and type is 'admin'.,"SELECT users.id, users.official_user_id FROM users JOIN staff_directory ON users.official_user_id = staff_directory.official_user_id WHERE users.type = 'admin';"
Select the id and users_fullname from the events and staff_directory tables where events users_id matches staff_directory user_id and harmt is not null.,"SELECT events.id, staff_directory.users_fullname FROM events JOIN staff_directory ON events.users_id = staff_directory.user_id WHERE events.harmt IS NOT NULL;"
Select the users_id and date_created from the events and event_actions tables where events id matches event_actions events_id and date_created is not null and date_done is null.,"SELECT events.users_id, event_actions.date_created FROM events JOIN event_actions ON events.id = event_actions.events_id WHERE event_actions.date_created IS NOT NULL AND event_actions.date_done IS NULL;"
