question,sql
"Who directed the episodes that aired December 15, 1956? ","SELECT Director FROM table WHERE Airdate = December 15, 1956"
"Who wrote the episode that aired December 1, 1956? ","SELECT Writer(s) FROM table WHERE Airdate = December 1, 1956"
"Who was the writer of the episode that originally aired on October 14, 1968?","SELECT Writer(s) FROM table WHERE Airdate = October 14, 1968"
"What is the season # for the episode with air date february 2, 1970?","SELECT MAX Season # FROM table WHERE Airdate = February 2, 1970"
"Who was the writer who wrote the episode that was aired on September 11, 1972?","SELECT Writer(s) FROM table WHERE Airdate = September 11, 1972"
Who directed episode number 626 in the series?,SELECT Director FROM table WHERE Series # = 626
Who are all the writers of episodes in season 24?,SELECT Writer(s) FROM table WHERE Season # = 24
"What is the title of the episode that aired on May 10, 1958?","SELECT Title FROM table WHERE Airdate = May 10, 1958"
Who was the writer of episode 15?,SELECT Writer(s) FROM table WHERE Season # = 15
What is the title of #33?,SELECT Title FROM table WHERE Season # = 33
How many directors worked on #158?,SELECT COUNT Director FROM table WHERE Series # = 158
How many writers were for season #1?,SELECT COUNT Writer(s) FROM table WHERE Season # = 1
"Who was the director for the episode on May 2, 1959?","SELECT Director FROM table WHERE Airdate = May 2, 1959"
Name the number in series for production code being 204,SELECT No. in series FROM table WHERE Production code = 204
Name the number of title for number in series being 25,SELECT COUNT Title FROM table WHERE No. in series = 25
What was the latest stage won by Mikhail Ignatiev? ,SELECT MAX Stage FROM table WHERE Winner = Mikhail Ignatiev
What is the summmary hearing when the definiton is listed at flying an aircraft so as to annoy any person?,"SELECT Summary Hearing? FROM table WHERE Definition, example or notes = Flying an aircraft so as to annoy any person"
In what race was the weight in kg 55 and the winner/2nd 1st - Jim and Tonic?,SELECT Race FROM table WHERE Weight (kg) = 55 AND Winner/2nd = 1st - Jim And Tonic
What was the distance in the Manikato Stakes race?,SELECT Distance FROM table WHERE Race = Manikato Stakes
What was the distance in the race where the weight in kg was 56 and the winner/2nd was 2nd - Fritz?,SELECT Distance FROM table WHERE Weight (kg) = 56 AND Winner/2nd = 2nd - Fritz
What date was the Doncaster race? ,SELECT Date FROM table WHERE Race = Doncaster
What was the air date when the team guest captain was john bishop?,SELECT Air Date FROM table WHERE Team guest captain = John Bishop
Who was the team guest captain for episode 2?,SELECT Team guest captain FROM table WHERE Episode = 2
Who was the team swash when the team guest captain was gail porter?,SELECT Team Swash FROM table WHERE Team guest captain = Gail Porter
How many entries are there for team coxy for the air date of 24 january 2010 and team guest captain of gail porter?,SELECT COUNT Team Coxy FROM table WHERE Air Date = 24 January 2010 AND Team guest captain = Gail Porter
How many entries are shown for an air date when the team guest captain was stephen k amos?,SELECT COUNT Air Date FROM table WHERE Team guest captain = Stephen K Amos
What group was sunline in when he was at moonee valley?,SELECT Group FROM table WHERE Venue = Moonee Valley
What was the win-loss record for the player from Switzerland? ,SELECT Win-Loss FROM table WHERE Nationality = Switzerland
What was the win loss record the lady who appeard in 1969?,SELECT Win-Loss FROM table WHERE Year(s) = 1969
What player(s) appeared in 1969?,SELECT Player FROM table WHERE Year(s) = 1969
Name the name for norway nationality,SELECT Name FROM table WHERE Nationality = Norway
"What is the series # of ""tanarak""?","SELECT MIN Series # FROM table WHERE Title = ""Tanarak"""
Who wrote the episode with the production code 2j5153?,SELECT Written by FROM table WHERE Production code = 2J5153
what is the filter when the wavelength is 222mm (k-band)?,SELECT Filter FROM table WHERE Wavelength = 222mm (K-band)
how many times was the exposures 53?,SELECT COUNT Camera FROM table WHERE Exposures = 53
"how many exposures where there when the total exposure time is 105,000s?","SELECT Exposures FROM table WHERE Total exposure time = 105,000s"
what is the camera used when the wavelength is 814nm (i-band)?,SELECT Camera FROM table WHERE Wavelength = 814nm (I-band)
"Who is the director of ""new girls""?","SELECT Director FROM table WHERE Title = ""New Girls"""
What is the title of the show with director Paul Annett?,SELECT Title FROM table WHERE Director = Paul Annett
What was the title for the Undercard of Stevenson/Bellew?,SELECT Titles FROM table WHERE Notes = Undercard of Stevenson/Bellew
What are the titles for the November 9 Super Bantamweight division?,SELECT Titles FROM table WHERE Date = November 9 AND Division = Super Bantamweight
How many notes are there for the Devon Alexander vs. Shawn Porter fight?,SELECT COUNT Notes FROM table WHERE Fight = Devon Alexander vs. Shawn Porter
What division was on HBO PPV?,SELECT Division FROM table WHERE TV = HBO PPV
Where was the Undercard of Stevenson/Bellew?,SELECT Location FROM table WHERE Notes = Undercard of Stevenson/Bellew
"What was the division number for Verona, USA?","SELECT COUNT Division FROM table WHERE Location = Verona, USA"
What mobile markets have cvt hd?,SELECT CVT HD FROM table WHERE Market = Mobile
How many opengl have the ironlake ( clarkdale ) code name?,SELECT COUNT OpenGL FROM table WHERE Code name = Ironlake ( Clarkdale )
What core clocks ( mhz ) have a 21.3 memory bandwidth ( gb/s )?,SELECT Core clock ( MHz ) FROM table WHERE Memory bandwidth ( GB/s ) = 21.3
What's the minimum number of execution units?,SELECT MIN Execution units FROM table
How many shader models have a 900 core clock ( mhz )?,SELECT COUNT Shader model FROM table WHERE Core clock ( MHz ) = 900
What is the population for the place with an area of 2.33 km2?,SELECT MAX Population (2000 census ) FROM table WHERE Area km² = 2.33
How many places named asan-maina?,SELECT COUNT Region FROM table WHERE Village = Asan-Maina
How many places named mongmong-toto-maite?,SELECT COUNT Region FROM table WHERE Village = Mongmong-Toto-Maite
What is the population density of mongmong-toto-maite?,SELECT MIN Pop. Density FROM table WHERE Village = Mongmong-Toto-Maite
What village has an area of 27.19 km2?,SELECT Village FROM table WHERE Area km² = 27.19
What region is inarajan in?,SELECT Region FROM table WHERE Village = Inarajan
How many POS when the average is 1.8529?,SELECT MAX Pos FROM table WHERE Avg = 1.8529
How many 07 A points for the team with 1.4902 average?,SELECT MAX 07 A Pts FROM table WHERE Avg = 1.4902
How many figures for 08 A points for the team with 1.1863 average?,SELECT COUNT 08 A Pts FROM table WHERE Avg = 1.1863
What is the largest number of 10 C points for a team with 39 total points?,SELECT MAX 10 C Pts FROM table WHERE Total Pts = 39
Who directed the episode with 4.82 million U.S. viewers?,SELECT Directed by FROM table WHERE U.S. viewers (million) = 4.82
Who directed the episode that had a production code of 2j5457?,SELECT Directed by FROM table WHERE Production code = 2J5457
What episode number was written by Anthony Sparks?,SELECT MIN No. FROM table WHERE Written by = Anthony Sparks
What was the production code of the episode written by Anthony Sparks?,SELECT Production code FROM table WHERE Written by = Anthony Sparks
What episode number was written by Karin Gist?,SELECT MAX No. FROM table WHERE Written by = Karin Gist
Name the leader battle for 4-3 vote,SELECT Leader Battle FROM table WHERE Vote = 4-3
Name the finish for 4-4,SELECT Finish FROM table WHERE Vote = 4-4
Name the left day 9 finish for eliminated,SELECT Eliminated FROM table WHERE Finish = Left Day 9
Name the leader battle for plamen,SELECT Leader Battle FROM table WHERE Eliminated = Plamen
What institution is represented by the lady saints?,SELECT Institution FROM table WHERE Women = Lady Saints
What status of school is the school represented by the baby olympians?,SELECT Status FROM table WHERE Juniors = Baby Olympians
What year was the school with green and white colors founded?,SELECT MAX Founded FROM table WHERE Color = Green and White
What status of school is informatics international college?,SELECT Status FROM table WHERE Institution = Informatics International College
How many catagories for denominations does Austria have? ,SELECT COUNT Denominations (Gold weight) FROM table WHERE Country = Austria
What are all the denominations for China?,SELECT Denominations (Gold weight) FROM table WHERE Country = China
what is the name of award when the name of film is sana keithel?,SELECT Name of Award FROM table WHERE Name of Film = Sana Keithel
what is the name of award when the awardee(s) is elangbam natasha?,SELECT Name of Award FROM table WHERE Awardee(s) = Elangbam Natasha
how many times is the name of film narmeen?,SELECT COUNT Cash Prize FROM table WHERE Name of Film = Narmeen
what is the language when the name of award is best editing?,SELECT Language FROM table WHERE Name of Award = Best Editing
who are the awardees when the name of award is best agricultural film?,SELECT Awardee(s) FROM table WHERE Name of Award = Best Agricultural Film
what is the language when the awardee is re-recordist : mateen ahmad?,SELECT Language FROM table WHERE Awardee(s) = Re-recordist : Mateen Ahmad
What is the highest Jews and others 1?,SELECT MAX Jews and others 1 FROM table
What is the lowest jews and others 1 for the localities 11?,SELECT MIN Jews and others 1 FROM table WHERE Localities = 11
What is the arabs when the annual population growth rate is 1.7%?,SELECT Arabs FROM table WHERE Annual Population growth rate = 1.7%
What is the lowest total when arabs is 4000?,SELECT MIN Total FROM table WHERE Arabs = 4000
Who won best actress?,SELECT Awardee(s) FROM table WHERE Name of Award = Best Actress
How many cash prizes were given for the hindi language film jodhaa akbar?,SELECT COUNT Cash Prize FROM table WHERE Language = Hindi AND Name of Film = Jodhaa Akbar
